Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sun,12/8/2019,18:00 (20:00),Werder Bremen,0.9,0 1,1.2,Paderborn 07,"39,870",Weserstadion,Sascha Stegemann,Match Report,

15,Fri,12/13/2019,20:30 (22:30),Hoffenheim,2.1,2 4,2.2,Augsburg,"23,309",PreZero Arena,Bibiana Steinhaus,Match Report,
15,Sat,12/14/2019,15:30 (17:30),Mainz 05,0.2,0 4,1.3,Dortmund,"33,305",Opel Arena,Benjamin Cortus,Match Report,
15,Sat,12/14/2019,15:30 (17:30),Bayern Munich,5,6 1,0.5,Werder Bremen,"75,000",Allianz Arena,Robert SchrÃ¶der,Match Report,
15,Sat,12/14/2019,15:30 (17:30),Paderborn 07,1,1 1,1.4,Union Berlin,"14,414",Benteler-Arena,Sven Jablonski,Match Report,
15,Sat,12/14/2019,15:30 (17:30),KÃ¶ln,1.6,2 0,0.2,Leverkusen,"49,500",RheinEnergieSTADION,Manuel GrÃ¤fe,Match Report,
15,Sat,12/14/2019,15:30 (17:30),Hertha BSC,0.7,1 0,0.9,Freiburg,"37,343",Olympiastadion Berlin,Frank Willenborg,Match Report,
15,Sat,12/14/2019,18:30 (20:30),DÃ¼sseldorf,0.2,0 3,3.4,RB Leipzig,"35,387",Merkur Spielarena,Robert Hartmann,Match Report,
15,Sun,12/15/2019,15:30 (17:30),Wolfsburg,1.2,2 1,0.4,M'gladbach,"25,580",Volkswagen Arena,Felix Brych,Match Report,
15,Sun,12/15/2019,18:00 (20:00),Schalke 04,1.1,1 0,0.8,Eint Frankfurt,"60,811",Veltins-Arena,Felix Zwayer,Match Report,

16,Tue,12/17/2019,18:30 (20:30),Werder Bremen,1,0 5,2.9,Mainz 05,"37,720",Weserstadion,Frank Willenborg,Match Report,
16,Tue,12/17/2019,20:30 (22:30),Augsburg,1.3,3 0,0.5,DÃ¼sseldorf,"27,763",WWK Arena,Marco Fritz,Match Report,
16,Tue,12/17/2019,20:30 (22:30),Union Berlin,1.4,0 2,0.8,Hoffenheim,"20,350",Stadion An der Alten FÃ¶rsterei,SÃ¶ren Storks,Match Report,
16,Tue,12/17/2019,20:30 (22:30),Dortmund,1.2,3 3,2.6,RB Leipzig,"80,200",Signal Iduna Park,Tobias Stieler,Match Report,
16,Wed,12/18/2019,18:30 (20:30),Leverkusen,1,0 1,1.4,Hertha BSC,"24,472",BayArena,Bastian Dankert,Match Report,
16,Wed,12/18/2019,20:30 (22:30),Wolfsburg,2.4,1 1,1.2,Schalke 04,"24,651",Volkswagen Arena,Martin Petersen,Match Report,
16,Wed,12/18/2019,20:30 (22:30),Eint Frankfurt,1.3,2 4,2.5,KÃ¶ln,"50,300",Commerzbank-Arena,Deniz Aytekin,Match Report,
16,Wed,12/18/2019,20:30 (22:30),M'gladbach,2.8,2 0,0.6,Paderborn 07,"44,494",Stadion im Borussia-Park,Robert Kampka,Match Report,
16,Wed,12/18/2019,20:30 (22:30),Freiburg,1.6,1 3,3.4,Bayern Munich,"24,000",Schwarzwald-Stadion,Sascha Stegemann,Match Report,

17,Fri,12/20/2019,20:30 (22:30),Hoffenheim,1.3,2 1,1.4,Dortmund,"30,150",PreZero Arena,Felix Zwayer,Match Report,
17,Sat,12/21/2019,15:30 (17:30),RB Leipzig,3.3,3 1,0.4,Augsburg,"40,562",Red Bull Arena,Daniel Siebert,Match Report,
17,Sat,12/21/2019,15:30 (17:30),Bayern Munich,1.3,2 0,0.9,Wolfsburg,"75,000",Allianz Arena,Christian Dingert,Match Report,
17,Sat,12/21/2019,15:30 (17:30),Mainz 05,1.9,0 1,1.5,Leverkusen,"24,345",Opel Arena,Patrick Ittrich,Match Report,
17,Sat,12/21/2019,15:30 (17:30),Schalke 04,1.7,2 2,2.8,Freiburg,"61,867",Veltins-Arena,Felix Brych,Match Report,
17,Sat,12/21/2019,15:30 (17:30),KÃ¶ln,1.1,1 0,0.2,Werder Bremen,"50,000",RheinEnergieSTADION,Daniel Schlager,Match Report,
17,Sat,12/21/2019,18:30 (20:30),Hertha BSC,0.6,0 0,0.9,M'gladbach,"50,208",Olympiastadion Berlin,Harm Osmers,Match Report,
17,Sun,12/22/2019,15:30 (17:30),DÃ¼sseldorf,1.1,2 1,2,Union Berlin,"45,490",Merkur Spielarena,Benjamin Cortus,Match Report,
17,Sun,12/22/2019,18:00 (20:00),Paderborn 07,3,2 1,2.1,Eint Frankfurt,"15,000",Benteler-Arena,Markus Schmidt,Match Report,

18,Fri,1/17/2020,20:30 (22:30),Schalke 04,1.7,2 0,0.9,M'gladbach,"62,271",Veltins-Arena,Deniz Aytekin,Match Report,
18,Sat,1/18/2020,15:30 (17:30),DÃ¼sseldorf,1.3,0 1,0.9,Werder Bremen,"46,000",Merkur Spielarena,Felix Brych,Match Report,
18,Sat,1/18/2020,15:30 (17:30),Augsburg,1.7,3 5,4.6,Dortmund,"30,660",WWK Arena,Manuel GrÃ¤fe,Match Report,
18,Sat,1/18/2020,15:30 (17:30),Mainz 05,2.5,1 2,1.6,Freiburg,"23,138",Opel Arena,Sven Jablonski,Match Report,
18,Sat,1/18/2020,15:30 (17:30),Hoffenheim,1,1 2,1.5,Eint Frankfurt,"29,610",PreZero Arena,Sascha Stegemann,Match Report,
18,Sat,1/18/2020,15:30 (17:30),KÃ¶ln,1.6,3 1,1.8,Wolfsburg,"49,100",RheinEnergieSTADION,Marco Fritz,Match Report,
18,Sat,1/18/2020,18:30 (20:30),RB Leipzig,2.1,3 1,1.5,Union Berlin,"42,146",Red Bull Arena,Bastian Dankert,Match Report,
18,Sun,1/19/2020,15:30 (17:30),Hertha BSC,0.7,0 4,2.3,Bayern Munich,"74,667",Olympiastadion Berlin,Tobias Stieler,Match Report,
18,Sun,1/19/2020,18:00 (20:00),Paderborn 07,1.3,1 4,2.2,Leverkusen,"14,889",Benteler-Arena,Daniel Siebert,Match Report,

19,Fri,1/24/2020,20:30 (22:30),Dortmund,2.6,5 1,1.3,KÃ¶ln,"81,365",Signal Iduna Park,Harm Osmers,Match Report,
19,Sat,1/25/2020,15:30 (17:30),M'gladbach,2.3,3 1,0.7,Mainz 05,"49,175",Stadion im Borussia-Park,Felix Zwayer,Match Report,
19,Sat,1/25/2020,15:30 (17:30),Eint Frankfurt,1.1,2 0,1.3,RB Leipzig,"50,300",Commerzbank-Arena,Daniel Siebert,Match Report,
19,Sat,1/25/2020,15:30 (17:30),Freiburg,1.5,0 2,1.9,Paderborn 07,"23,500",Schwarzwald-Stadion,Christian Dingert,Match Report,
19,Sat,1/25/2020,15:30 (17:30),Wolfsburg,1.3,1 2,1.7,Hertha BSC,"24,894",Volkswagen Arena,Markus Schmidt,Match Report,
19,Sat,1/25/2020,15:30 (17:30),Union Berlin,1.1,2 0,1.9,Augsburg,"22,012",Stadion An der Alten FÃ¶rsterei,Bibiana Steinhaus,Match Report,
19,Sat,1/25/2020,18:30 (20:30),Bayern Munich,3.3,5 0,0.5,Schalke 04,"75,000",Allianz Arena,Manuel GrÃ¤fe,Match Report,
19,Sun,1/26/2020,15:30 (17:30),Werder Bremen,0.8,0 3,1,Hoffenheim,"40,000",Weserstadion,Martin Petersen,Match Report,
19,Sun,1/26/2020,18:00 (20:00),Leverkusen,3.7,3 0,0.8,DÃ¼sseldorf,"26,250",BayArena,Daniel Schlager,Match Report,

20,Fri,1/31/2020,20:30 (22:30),Hertha BSC,0.4,0 0,0.7,Schalke 04,"47,863",Olympiastadion Berlin,Sascha Stegemann,Match Report,
